"","J","J_centerRange","daySq","edate","J_daySq","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR"
"11",304,-0.872947221729869,0.762036851925897,2011-10-31,"-0.872947221729869_0.762036851925897",0.00609115284180606,0.00194308502410749,0.0189265265412567,1.13442674509748,0.139482505740248,9.2264189918486
"12",307,-0.788468458336655,0.621682509791782,2011-11-03,"-0.788468458336655_0.621682509791782",0.00988569805553657,0.00349076904562641,0.0276705421544379,1.52042313464622,0.236321506738481,9.78195569362889
"13",310,-0.703989694943442,0.495601490586561,2011-11-06,"-0.703989694943442_0.495601490586561",0.0152875626167503,0.00581593239390886,0.0395704172092244,1.95434823691513,0.368754891452569,10.3577664179257
"14",313,-0.619510931550229,0.383793794310232,2011-11-09,"-0.619510931550229_0.383793794310232",0.0225206532893979,0.0090107049320747,0.0551589196775551,2.40928903082201,0.52958522319689,10.9607922951452
"15",316,-0.535032168157016,0.286259420962797,2011-11-12,"-0.535032168157016_0.286259420962797",0.0316016497789313,0.013041229255261,0.0745813370162088,2.84855969578105,0.700764458687386,11.5792007426108
"16",319,-0.450553404763803,0.202998370544255,2011-11-15,"-0.450553404763803_0.202998370544255",0.0422501149307942,0.0177338124363613,0.097301872437966,3.23006466464054,0.857392088174596,12.1686657500796
"17",322,-0.36607464137059,0.134010643054606,2011-11-18,"-0.36607464137059_0.134010643054606",0.0538509261770914,0.0227943045994764,0.121941198608626,3.51274462812074,0.975822103997927,12.6451069020028
"18",325,-0.281595877977377,0.0792962384938498,2011-11-21,"-0.281595877977377_0.0792962384938498",0.0654953755654078,0.0278466981005053,0.146380647984003,3.66379705826807,1.04110105284162,12.8934735466221
"19",328,-0.197117114584164,0.0388551568619864,2011-11-24,"-0.197117114584164_0.0388551568619864",0.0761004560327508,0.0324786059932478,0.168129503689915,3.66493022531664,1.0497105840867,12.7956350636644
"20",331,-0.112638351190951,0.012687398159016,2011-11-27,"-0.112638351190951_0.012687398159016",0.0845775572358958,0.0362873659831921,0.184807449804177,3.51600498150857,1.00760932905165,12.2689326840873
"21",334,-0.0281595877977377,0.000792962384938498,2011-11-30,"-0.0281595877977377_0.000792962384938498",0.0900077871920396,0.0389232888743565,0.19456468300558,3.23506285039653,0.92622791091527,11.2991970147757
