"","J","sday","cday","edate","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR"
"22",336,-0.478733840115789,0.877960084700888,2011-12-02,0.0840412962371151,0.0369660229094105,0.179868825505502,1.59774650469526,0.588080596194704,4.34089121420482
"23",339,-0.432775592550432,0.901501684131884,2011-12-05,0.0844852199358559,0.0374611954015504,0.17952764226391,1.43105009552661,0.542311095026278,3.77625387842654
"24",342,-0.385663406243607,0.922639548840487,2011-12-08,0.0815457752989435,0.0365095413336057,0.172206963837809,1.21409667580946,0.475173436529465,3.10208994210092
"25",345,-0.337522899594113,0.941317317512847,2011-12-11,0.0755493950323374,0.0341741083864746,0.158783076530352,0.976098303644324,0.394756815525157,2.41355655154384
"26",348,-0.288482432880609,0.957485188355039,2011-12-14,0.0671481463672338,0.0306487928645436,0.140800583335272,0.744094963893301,0.309911068125887,1.78656838117982
"27",351,-0.23867276600595,0.97110005188295,2011-12-17,0.057216975686759,0.0262437941780345,0.120231511503352,0.538235034841831,0.228852810161327,1.26586583108579
"28",354,-0.188226709843245,0.982125605868,2011-12-20,0.0467136332524358,0.0213577397260966,0.0991230548995623,0.369742518003799,0.158051524426056,0.864968117936433
"29",357,-0.137278772113265,0.990532452132223,2011-12-23,0.0365282917563835,0.0164336165367898,0.0792153577995553,0.241460151987246,0.101482838117294,0.574510982145742
"30",360,-0.0859647987374467,0.996298174934608,2011-12-26,0.0273573460593414,0.0118949926814965,0.0616649210065994,0.150073361595222,0.0603029539661,0.373481104642922
"31",363,-0.0344216116227458,0.999407400739705,2011-12-29,0.0196311740892136,0.00806857688302143,0.0469786878432649,0.0888841930829431,0.0330994242502891,0.238686924590143
"32",366,0.0172133561558348,0.999851839209116,2012-01-01,0.013507839125108,0.00512036430037287,0.0351491124684953,0.0502359688762899,0.0168020569140846,0.150199025145789
"33",369,0.0688024268023193,0.997630305306586,2012-01-04,0.00892226004252405,0.00304183342106944,0.0258755890143358,0.0271353300487638,0.00791563925242215,0.0930216895154783
"34",372,0.120208044899352,0.99274872245774,2012-01-07,0.00566499932053501,0.00169558397419399,0.0187523876629238,0.0140313258379007,0.0034769370370943,0.0566240063219184
"35",375,0.171293144181478,0.985220106756061,2012-01-10,0.0034627054114962,0.000889796490642527,0.0133757599314317,0.00695775821092938,0.00143087848994165,0.033832641738663
"36",378,0.221921513004165,0.975064532257195,2012-01-13,0.00204087806793305,0.000441197376739005,0.0093861702236912,0.0033148144979363,0.000554280144871281,0.0198239017893747
"37",381,0.271958157534106,0.962309077454149,2012-01-16,0.00116177782999657,0.000207453408230379,0.00647772923191605,0.00152029195965235,0.000202987896281331,0.0113863323130372
"38",384,0.321269661692364,0.946987753076076,2012-01-19,0.000639835544748684,9.28241260129096e-05,0.00439620581922731,0.000672628540243642,7.05665879556634e-05,0.00641137918464404
"39",387,0.369724542890673,0.929141411403175,2012-01-22,0.000341509269936814,3.96540496919258e-05,0.00293440893087775,0.000287705659387962,2.33776723048006e-05,0.00354075227698628
"40",390,0.417193602612317,0.908817637339503,2012-01-25,0.000176966869639149,1.62246680692334e-05,0.00192715672372626,0.000119242141939768,7.40804157390209e-06,0.00191935861489695
"41",393,0.46355027090285,0.886070621534138,2012-01-28,8.91914119789334e-05,6.37766695271683e-06,0.00124599838362617,4.79997877967475e-05,2.25371398599663e-06,0.00102230347011577
"42",396,0.508670943852105,0.860961015888994,2012-01-31,4.38030325733236e-05,2.41579378309715e-06,0.000793671293628823,1.88118182472225e-05,6.60640149983802e-07,0.000535669086680866
